date,week_no,day_type,day
01/05/2022,W 19,weekend,7
02/05/2022,W 19,weekeday,1
03/05/2022,W 19,weekeday,2
04/05/2022,W 19,weekeday,3
05/05/2022,W 19,weekeday,4
06/05/2022,W 19,weekeday,5
07/05/2022,W 19,weekend,6
08/05/2022,W 20,weekend,7
09/05/2022,W 20,weekeday,1
10/05/2022,W 20,weekeday,2
11/05/2022,W 20,weekeday,3
12/05/2022,W 20,weekeday,4
13/05/2022,W 20,weekeday,5
14/05/2022,W 20,weekend,6
15/05/2022,W 21,weekend,7
16/05/2022,W 21,weekeday,1
17/05/2022,W 21,weekeday,2
18/05/2022,W 21,weekeday,3
19/05/2022,W 21,weekeday,4
20/05/2022,W 21,weekeday,5
21/05/2022,W 21,weekend,6
22/05/2022,W 22,weekend,7
23/05/2022,W 22,weekeday,1
24/05/2022,W 22,weekeday,2
25/05/2022,W 22,weekeday,3
26/05/2022,W 22,weekeday,4
27/05/2022,W 22,weekeday,5
28/05/2022,W 22,weekend,6
29/05/2022,W 23,weekend,7
30/05/2022,W 23,weekeday,1
31/05/2022,W 23,weekeday,2
01/06/2022,W 23,weekeday,3
02/06/2022,W 23,weekeday,4
03/06/2022,W 23,weekeday,5
04/06/2022,W 23,weekend,6
05/06/2022,W 24,weekend,7
06/06/2022,W 24,weekeday,1
07/06/2022,W 24,weekeday,2
08/06/2022,W 24,weekeday,3
09/06/2022,W 24,weekeday,4
10/06/2022,W 24,weekeday,5
11/06/2022,W 24,weekend,6
12/06/2022,W 25,weekend,7
13/06/2022,W 25,weekeday,1
14/06/2022,W 25,weekeday,2
15/06/2022,W 25,weekeday,3
16/06/2022,W 25,weekeday,4
17/06/2022,W 25,weekeday,5
18/06/2022,W 25,weekend,6
19/06/2022,W 26,weekend,7
20/06/2022,W 26,weekeday,1
21/06/2022,W 26,weekeday,2
22/06/2022,W 26,weekeday,3
23/06/2022,W 26,weekeday,4
24/06/2022,W 26,weekeday,5
25/06/2022,W 26,weekend,6
26/06/2022,W 27,weekend,7
27/06/2022,W 27,weekeday,1
28/06/2022,W 27,weekeday,2
29/06/2022,W 27,weekeday,3
30/06/2022,W 27,weekeday,4
01/07/2022,W 27,weekeday,5
02/07/2022,W 27,weekend,6
03/07/2022,W 28,weekend,7
04/07/2022,W 28,weekeday,1
05/07/2022,W 28,weekeday,2
06/07/2022,W 28,weekeday,3
07/07/2022,W 28,weekeday,4
08/07/2022,W 28,weekeday,5
09/07/2022,W 28,weekend,6
10/07/2022,W 29,weekend,7
11/07/2022,W 29,weekeday,1
12/07/2022,W 29,weekeday,2
13/07/2022,W 29,weekeday,3
14/07/2022,W 29,weekeday,4
15/07/2022,W 29,weekeday,5
16/07/2022,W 29,weekend,6
17/07/2022,W 30,weekend,7
18/07/2022,W 30,weekeday,1
19/07/2022,W 30,weekeday,2
20/07/2022,W 30,weekeday,3
21/07/2022,W 30,weekeday,4
22/07/2022,W 30,weekeday,5
23/07/2022,W 30,weekend,6
24/07/2022,W 31,weekend,7
25/07/2022,W 31,weekeday,1
26/07/2022,W 31,weekeday,2
27/07/2022,W 31,weekeday,3
28/07/2022,W 31,weekeday,4
29/07/2022,W 31,weekeday,5
30/07/2022,W 31,weekend,6
31/07/2022,W 32,weekend,7
